00:24:14  |  Core  |  Info  |  * Initialise: FactoryManager  |  src\MyGUI_FactoryManager.cpp  |  33
00:24:14  |  Core  |  Info  |  FactoryManager successfully initialized  |  src\MyGUI_FactoryManager.cpp  |  36
00:24:14  |  Core  |  Info  |  * Initialise: ToolTipManager  |  src\MyGUI_ToolTipManager.cpp  |  49
00:24:14  |  Core  |  Info  |  ToolTipManager successfully initialized  |  src\MyGUI_ToolTipManager.cpp  |  53
00:24:14  |  Core  |  Info  |  Load ini file 'core_theme.xml'  |  src\MyGUI_ResourceManager.cpp  |  119
00:24:14  |  Core  |  Info  |  Load ini file 'core_language.xml'  |  src\MyGUI_ResourceManager.cpp  |  119
00:24:14  |  Core  |  Info  |  Load ini file 'core_font.xml'  |  src\MyGUI_ResourceManager.cpp  |  119
00:24:14  |  Core  |  Info  |  ResourceTrueTypeFont 'font_DejaVuSans.17' using texture size 512 x 256  |  src\MyGUI_ResourceTrueTypeFont.cpp  |  202
00:24:14  |  Core  |  Info  |  ResourceTrueTypeFont 'font_DejaVuSans.17' using real height 17 pixels  |  src\MyGUI_ResourceTrueTypeFont.cpp  |  203
00:24:14  |  Core  |  Info  |  ResourceTrueTypeFont 'font_DejaVuSans.14' using texture size 256 x 256  |  src\MyGUI_ResourceTrueTypeFont.cpp  |  202
00:24:14  |  Core  |  Info  |  ResourceTrueTypeFont 'font_DejaVuSans.14' using real height 14 pixels  |  src\MyGUI_ResourceTrueTypeFont.cpp  |  203
00:24:14  |  Core  |  Info  |  Load ini file 'core_resource.xml'  |  src\MyGUI_ResourceManager.cpp  |  119
00:24:14  |  Core  |  Info  |  Load ini file 'core_skin.xml'  |  src\MyGUI_ResourceManager.cpp  |  119
00:24:14  |  Core  |  Info  |  Load ini file 'core_pointer.xml'  |  src\MyGUI_ResourceManager.cpp  |  119
00:24:14  |  Core  |  Info  |  Load ini file 'core_layer.xml'  |  src\MyGUI_ResourceManager.cpp  |  119
00:24:14  |  Core  |  Info  |  Load ini file 'core_settings.xml'  |  src\MyGUI_ResourceManager.cpp  |  119
00:24:14  |  Core  |  Info  |  Gui successfully initialized  |  src\MyGUI_Gui.cpp  |  125
